Title,Release Date,Score,Developer,Publisher,Genre,Platforms,Image URL
Othercide,"Jul 27, 2020",78,Lightbulb Crew,Focus Home Interactive,Turn-Based,"PC, Nintendo Switch",/public/game_images/Othercide.jpg
Unicorn Overlord,"Mar 8, 2024",87,Vanillaware,Sega,Strategy,"Nintendo Switch, PlayStation 5, Xbox Series X",/public/game_images/Unicorn_Overlord.jpg
Marvel's Midnight Suns,"Dec 2, 2022",83,Firaxis Games,2K Games,Strategy,"PC, PlayStation 5, Xbox Series X",/public/game_images/Marvel's_Midnight_Suns.jpg
Princess Peach: Showtime!,"Mar 22, 2024",74,Good-Feel,Nintendo,Adventure,Nintendo Switch,
Evil Dead: The Game,"May 13, 2022",72,Saber Interactive,Saber Interactive,3D,"PC, PlayStation 5, Xbox Series X",
Alan Wake II,"Oct 27, 2023",89,Remedy Entertainment,Epic Games,Survival,"PC, PlayStation 5, Xbox Series X",/public/game_images/Alan_Wake_II.jpg
Fuser,"Nov 9, 2020",81,Harmonix Music Systems,NCSOFT,Music/Rhythm,"PC, Nintendo Switch",/public/game_images/Fuser.jpg
Mortal Kombat 1,"Sep 14, 2023",83,NetherRealm Studios,Warner Bros. Games,2D,"PC, Nintendo Switch, PlayStation 5, Xbox Series X",/public/game_images/Mortal_Kombat_1.jpg
Teardown,"Apr 21, 2022",80,Tuxedo Labs,Tuxedo Labs,Adventure,"PC, PlayStation 5, Xbox Series X",/public/game_images/Teardown.jpg
Amnesia: Rebirth,"Sep 15, 2020",80,Frictional Games,Frictional Games,3D,"PC, Xbox Series X",
Persona 5 Royal,"Mar 31, 2020",95,ATLUS,ATLUS,Role-Playing,"Nintendo Switch, PC, PlayStation 5, Xbox Series X",/public/game_images/Persona_5_Royal.jpg
Bayonetta 3,"Oct 28, 2022",86,PlatinumGames,Nintendo,Adventure,Nintendo Switch,/public/game_images/Bayonetta_3.jpg
Streets of Rage 4,"Apr 30, 2020",84,Seaven Studio,Playdigious,2D,"PC, Nintendo Switch",/public/game_images/Streets_of_Rage_4.jpg
NBA 2K23,"Sep 9, 2022",78,2K Games,2K Sports,Basketball,"Nintendo Switch, PC, PlayStation 5, Xbox Series X",/public/game_images/NBA_2K23.jpg
Signalis,"Oct 27, 2022",81,rose-engine,Humble Games,Adventure,"PC, Nintendo Switch",/public/game_images/Signalis.jpg
Kirby Fighters 2,"Sep 23, 2020",65,HAL Labs,Nintendo,2D,Nintendo Switch,/public/game_images/Kirby_Fighters_2.jpg
AEW: Fight Forever,"Jun 29, 2023",64,Yuke's,THQ Nordic,Action,"Nintendo Switch, PC, PlayStation 5, Xbox Series X",
Trials of Mana,"Apr 24, 2020",76,Xeen,Square Enix,Role-Playing,"PC, Nintendo Switch",/public/game_images/Trials_of_Mana.jpg
Salt and Sacrifice,"May 10, 2022",72,Devoured Studios,Ska Studios,Metroidvania,"Nintendo Switch, PC, PlayStation 5",/public/game_images/Salt_and_Sacrifice.jpg
Assassin's Creed Valhalla,"Nov 10, 2020",80,Ubisoft Montreal,Ubisoft,Action,"PC, PlayStation 5, Xbox Series X",/public/game_images/Assassin's_Creed_Valhalla.jpg
Overwatch 2,"Oct 4, 2022",79,Blizzard Entertainment,Blizzard Entertainment,Action,"PlayStation 5, PC, Nintendo Switch, Xbox Series X",/public/game_images/Overwatch_2.jpg
KUNAI,"Feb 6, 2020",73,TurtleBlaze,The Arcade Crew,Action,"PC, Nintendo Switch",/public/game_images/KUNAI.jpg
Tom Clancy's Rainbow Six Extraction,"Jan 20, 2022",73,Ubisoft Montreal,Ubisoft,Action,"PC, PlayStation 5, Xbox Series X",/public/game_images/Tom_Clancy's_Rainbow_Six_Extraction.jpg
Kena: Bridge of Spirits,"Sep 21, 2021",81,Emberlab,Emberlab,Action,"PC, PlayStation 5, Xbox Series X",
13 Sentinels: Aegis Rim,"Sep 22, 2020",85,Vanillaware,ATLUS,Adventure,Nintendo Switch,
